epoch,iou,loss,val_iou,val_loss
0,0.10286853993789126,0.02505109680052369,0.01806129813194275,0.021455214358866215
1,0.07617595746444586,0.022683433185403164,0.05000072866678238,0.028264902904629706
2,0.12368917828186965,0.021418055191110723,0.07481140196323395,0.00956673976033926
3,0.1281771297351672,0.02133238043498773,0.21484379470348358,0.010257905558682978
4,0.13407411894355065,0.02503694031978599,0.16392841041088105,0.013329099770635367
5,0.1541006733209659,0.020387124898544967,0.19604321122169494,0.008317583333700895
6,0.19503123045731813,0.013019183375992073,0.07463491708040237,0.011332393623888493
7,0.14624232619714278,0.016092040749171223,0.0027676500380039216,0.035880237445235254
8,0.13518991825194696,0.012801496658283167,0.039335630089044574,0.007481346931308508
9,0.14017280518339995,0.01241312230614802,0.2760779669508338,0.00550738419406116
10,0.18936371349562436,0.014904568892700646,0.08792314827442169,0.016480995807796717
11,0.15396352860933313,0.013284862339974213,0.011569102108478547,0.011804829351603985
12,0.09376051718106446,0.01517053505178923,0.048914678394794464,0.023554427176713945
13,0.18727420488348565,0.009170106280809985,0.0685546288266778,0.008827642491087317
14,0.16847777232909814,0.011526592045974655,0.01585909426212311,0.01974120521917939
15,0.07471969714746453,0.012648433717027402,0.08808369487524033,0.012314321426674723
16,0.16727374470195708,0.010907789134086134,0.01722215712070465,0.017821864783763887
17,0.13650815614546913,0.01492523824951301,0.0,0.018901240825653077
18,0.15502087796071115,0.011619377952928726,0.02375742457807064,0.01930209342390299
19,0.12345979071389405,0.013587042665443359,0.13191087245941163,0.012842985894531011
20,0.13770549886453992,0.012414983691623768,0.03035038486123085,0.014546085288748145
21,0.16768654194684365,0.018304368645961706,0.0888409860432148,0.011119618639349937
22,0.11806066711552632,0.01234512237043908,0.18189769387245178,0.009373697359114886
23,0.20148063885668913,0.00707850992703476,0.3041273504495621,0.005096863396465779
24,0.2042997592749695,0.010936008849873757,0.15330700278282167,0.014216074580326676
25,0.13754350428159037,0.014279726344960718,0.06567413210868836,0.019148852163925766
